primaryTitle,genres,startYear
Watch on the Rhine,"Drama,Thriller",1943
Double Indemnity,"Crime,Drama,Film-Noir",1944
Gaslight,"Crime,Drama,Mystery",1944
National Velvet,"Drama,Family,Sport",1944
Phool,Drama,1945
Ratan,"Musical,Romance",1944
Towards the Light,Drama,1944
The Affairs of Susan,"Comedy,Drama,Romance",1945
Conflict,"Drama,Film-Noir,Mystery",1945
The Ghost Lady,"Drama,Romance",1945
Mildred Pierce,"Crime,Drama,Film-Noir",1945
The Woman in Green,"Crime,Drama,Horror",1945
"A Boy, a Girl and a Dog","Action,Drama,War",1946
It's a Wonderful Life,"Drama,Family,Fantasy",1946
Make Mine Music,"Adventure,Animation,Comedy",1946
Shahjehan,"Drama,History,Romance",1946
Dil-Ki-Rani (Sweet-Heart),"Comedy,Romance",1947
A Double Life,"Crime,Drama,Film-Noir",1947
Good News,"Comedy,Musical,Romance",1947
Miracle on 34th Street,"Comedy,Drama,Family",1947
Nightmare Alley,"Drama,Film-Noir",1947
Road to Rio,"Adventure,Comedy,Musical",1947
B.F.'s Daughter,"Drama,Romance",1948
Port of Call,Drama,1948
Bicycle Thieves,Drama,1948
Portrait of Jennie,"Drama,Fantasy,Mystery",1948
Red River,"Drama,Western",1948
Rope,"Crime,Drama,Mystery",1948
Scott of the Antarctic,"Action,Adventure,Biography",1948
The Treasure of the Sierra Madre,"Adventure,Drama,Western",1948
All the King's Men,"Drama,Film-Noir",1949
Barsaat,"Drama,Musical,Romance",1949
Mahal,"Drama,Horror,Mystery",1949
"Red, Hot and Blue","Comedy,Crime,Musical",1949
The Third Man,"Drama,Film-Noir,Mystery",1949
Under Capricorn,"Crime,Drama,Romance",1949
All About Eve,Drama,1950
Arzoo,"Musical,Romance",1950
Bawre Nain,"Drama,Romance",1950
Born Yesterday,"Comedy,Drama,Romance",1950
Cinderella,"Animation,Family,Fantasy",1950
Dastan,"Drama,Family,Romance",1950
Khiladi,\N,1950
Kiss Tomorrow Goodbye,"Crime,Film-Noir,Thriller",1950
The Next Voice You Hear...,"Drama,Fantasy",1950
Rashomon,"Crime,Drama,Mystery",1950
Sunset Boulevard,"Drama,Film-Noir",1950
Alice in Wonderland,"Adventure,Animation,Comedy",1951
Awaara,"Drama,Musical,Romance",1951
Bahar,Drama,1951
The Day the Earth Stood Still,"Drama,Sci-Fi",1951
The Affairs of Messalina,"Action,Drama,History",1951
Pathala Bhairavi,"Action,Adventure,Family",1951
Peking Express,"Action,Drama,Film-Noir",1951
The Racket,"Crime,Drama,Film-Noir",1951
Sirocco,"Action,Drama,Film-Noir",1951
Strangers on a Train,"Crime,Drama,Film-Noir",1951
A Streetcar Named Desire,Drama,1951
Take Care of My Little Girl,Drama,1951
Daag,"Drama,Romance",1952
High Noon,"Drama,Thriller,Western",1952
Ikiru,Drama,1952
Loan Shark,"Crime,Drama,Film-Noir",1952
Pat and Mike,"Comedy,Romance,Sport",1952
Road to Bali,"Adventure,Comedy,Fantasy",1952
The Steel Trap,"Crime,Drama,Film-Noir",1952
Aah,"Drama,Musical,Romance",1953
Anarkali,"History,Musical,Romance",1953
Aurat,"Action,Adventure,Drama",1953
Do Bigha Zamin,Drama,1953
Gentlemen Prefer Blondes,"Comedy,Musical,Romance",1953
It Came from Outer Space,"Horror,Sci-Fi",1953
The Living Desert,"Documentary,Family",1953
Niagara,"Drama,Film-Noir,Thriller",1953
Papi,"Crime,Drama",1953
Peter Pan,"Adventure,Animation,Family",1953
Project Moon Base,Sci-Fi,1953
Roman Holiday,"Comedy,Drama,Romance",1953
Shane,"Drama,Western",1953
Sharey Chuattar,"Comedy,Romance",1953
Titanic,"Drama,History,Romance",1953
Tokyo Story,Drama,1953
The War of the Worlds,"Action,Sci-Fi,Thriller",1953
This or That,"Musical,Romance,Thriller",1954
Black Tuesday,"Crime,Drama,Film-Noir",1954
Black Widow,"Drama,Film-Noir,Mystery",1954
Boot Polish,"Comedy,Drama,Family",1954
Dial M for Murder,"Crime,Drama,Mystery",1954
Godzilla,"Horror,Sci-Fi",1954
Ilzam,"Drama,Family,Romance",1954
Jail Bait,"Crime,Drama,Film-Noir",1954
The Last Time I Saw Paris,"Drama,Romance",1954
Naukari,"Drama,Family",1955
On the Waterfront,"Crime,Drama,Thriller",1954
Rear Window,"Drama,Mystery,Thriller",1954
Sabrina,"Comedy,Drama,Romance",1954
Saskatchewan,"Adventure,Drama,Western",1954
Seven Samurai,"Action,Drama",1954
The Vanishing Prairie,"Documentary,Family",1954
What Every Woman Wants,Drama,1954
08/15 at Home,"Drama,War",1955
Animal Farm,"Animation,Drama",1954
Devdas,"Drama,Musical,Romance",1955
East of Eden,Drama,1955
House No. 44,"Crime,Drama",1955
Inside Detroit,"Action,Crime,Drama",1956
The Intruder,"Drama,Mystery,War",1953
Marty,"Drama,Romance",1955
Mr. & Mrs. '55,"Comedy,Musical,Romance",1955
Nagin,"Drama,Musical,Romance",1954
Pather Panchali,"Drama,History",1955
Pehli Jhalak,"Action,Comedy,Crime",1955
Samurai II: Duel at Ichijoji Temple,"Action,Adventure,Biography",1955
The Seven Year Itch,"Comedy,Romance",1955
Shree 420,"Comedy,Crime,Drama",1955
Sissi,"Comedy,Drama,History",1955
Top Gun,"Drama,Western",1955
Top of the World,Adventure,1955
Uran Khatola,"Comedy,Fantasy,Musical",1955
Some Where in Delhi,"Comedy,Drama,Romance",1956
Aparajito,Drama,1956
C.I.D.,"Action,Crime,Musical",1956
Chhoo Mantar,Comedy,1956
Earth vs. the Flying Saucers,"Action,Horror,Sci-Fi",1956
Ek-Hi-Rasta,Drama,1956
...And God Created Woman,"Drama,Romance",1956
Kabuliwala,Drama,1957
The King and I,"Biography,Drama,Musical",1956
Kismet Ka Khel,"Action,Crime,Drama",1956
Parivar,"Comedy,Drama,Family",1956
The Ten Commandments,"Adventure,Drama,Family",1956
The Third Key,"Crime,Drama,Mystery",1956
12 Angry Men,"Crime,Drama",1957
20 Million Miles to Earth,"Adventure,Family,Fantasy",1957
Mother India,"Action,Comedy,Drama",1957
The Bridge on the River Kwai,"Adventure,Drama,War",1957
The Flute and the Arrow,"Adventure,Documentary,Drama",1957
Do Ankhen Barah Haath,"Comedy,Crime,Drama",1957
Gun Battle at Monterey,"Drama,Western",1957
Harano Sur,"Drama,Romance",1957
"Heaven Knows, Mr. Allison","Adventure,Drama,War",1957
Kath Putli,"Drama,Family",1957
Love Slaves of the Amazons,Adventure,1957
Madhumati,"Fantasy,Musical,Mystery",1958
Nau Do Gyarah,"Comedy,Romance,Thriller",1957
Paths of Glory,"Drama,War",1957
Thirst,"Drama,Musical,Romance",1957
The Seventh Seal,"Drama,Fantasy",1957
The Spirit of St. Louis,"Adventure,Biography,Drama",1957
Witness for the Prosecution,"Crime,Drama,Mystery",1957
Pathetic Fallacy,Drama,1958
Fast and Sexy,"Comedy,Romance",1958
The Bravados,"Drama,Western",1958
The Fly,"Drama,Horror,Sci-Fi",1958
The Music Room,"Drama,Music",1958
Kala Pani,"Crime,Musical,Romance",1958
Parvarish,"Drama,Family",1958
Vertigo,"Mystery,Romance,Thriller",1958
White Wilderness,"Documentary,Family",1958
Anari,"Comedy,Drama,Musical",1959
Anatomy of a Murder,"Drama,Mystery",1959
The World of Apu,Drama,1959
Ben-Hur,"Adventure,Drama",1959
Didi,Drama,1959
Hiroshima Mon Amour,"Drama,Romance",1959
Insaan Jaag Utha,"Drama,Family,Musical",1959
Paper Flowers,Romance,1959
Main Nashe Men Hoon,"Comedy,Drama,Family",1959
North by Northwest,"Adventure,Drama,Mystery",1959
Good Morning,"Comedy,Drama,Family",1959
The 400 Blows,"Crime,Drama",1959
Rio Bravo,Western,1959
Some Like It Hot,"Comedy,Music,Romance",1959
"Tarzan, the Ape Man","Action,Adventure,Romance",1959
Battle in Outer Space,Sci-Fi,1959
Breathless,"Crime,Drama",1960
The Apartment,"Comedy,Drama,Romance",1960
BUtterfield 8,"Drama,Romance",1960
Bombai Ka Babu,"Drama,Musical,Romance",1960
Barsaat Ki Raat,"Drama,Musical,Romance",1960
Dil Apna Aur Preet Parai,"Musical,Romance",1960
La Dolce Vita,"Comedy,Drama",1960
Love and the Frenchwoman,Comedy,1960
Kala Bazar,"Crime,Drama,Musical",1960
The Thief of Baghdad,"Adventure,Family,Fantasy",1961
The Magnificent Seven,"Action,Adventure,Drama",1960
The Cloud-Capped Star,Drama,1960
Mughal-E-Azam,"Drama,Romance,War",1960
Peeping Tom,"Drama,Horror,Thriller",1960
Princess of Cleves,"Drama,History,Romance",1961
Psycho,"Drama,Horror,Mystery",1960
Daughter of Cleopatra,"Adventure,Drama,Romance",1960
Spartacus,"Adventure,Biography,Drama",1960
Last Year at Marienbad,"Drama,Mystery,Romance",1961
Breakfast at Tiffany's,"Comedy,Drama,Romance",1961
A Cold Wind in August,Drama,1961
Come September,"Comedy,Romance",1961
Gunga Jumna,"Action,Adventure,Drama",1961
The Guns of Navarone,"Action,Adventure,Drama",1961
The Hustler,"Drama,Sport",1961
The Innocents,"Drama,Horror,Mystery",1961
Judgment at Nuremberg,"Drama,History,War",1961
Junglee,"Comedy,Drama,Musical",1961
Mem-Didi,"Comedy,Drama",1961
Messalina,Drama,1960
One Hundred and One Dalmatians,"Adventure,Animation,Comedy",1961
One Plus One,Drama,1961
The Parent Trap,"Comedy,Family,Romance",1961
The Secret Ways,"Adventure,History,Mystery",1961
Splendor in the Grass,"Drama,Romance",1961
A Wife Confesses,"Drama,Mystery",1961
A Woman Is a Woman,"Comedy,Drama,Romance",1961
West Side Story,"Crime,Drama,Musical",1961
The Cabinet of Caligari,"Horror,Thriller",1962
Dr. No,"Action,Adventure,Thriller",1962
Experiment in Terror,"Crime,Mystery,Thriller",1962
A Girl Named Tamiko,Drama,1962
Harakiri,"Drama,Mystery",1962
Hatari!,"Action,Adventure,Comedy",1962
King Kong vs. Godzilla,"Action,Adventure,Comedy",1962
Lawrence of Arabia,"Adventure,Biography,Drama",1962
Lolita,"Crime,Drama,Romance",1962
The Longest Day,"Action,Drama,History",1962
Main Chup Rahungi,"Drama,Family",1962
The Man Who Shot Liberty Valance,"Drama,Western",1962
Paris Pick-Up,"Drama,Thriller",1962
Mutiny on the Bounty,"Adventure,Drama,History",1962
The Man from the First Century,"Adventure,Comedy,Sci-Fi",1962
Requiem for a Heavyweight,"Drama,Sport",1962
Sahib Bibi Aur Ghulam,"Drama,Musical",1962
Tarzan Goes to India,"Action,Adventure",1962
To Kill a Mockingbird,"Crime,Drama",1962
Vivre sa vie,Drama,1962
What Ever Happened to Baby Jane?,"Drama,Horror,Thriller",1962
What Every Woman Wants,Comedy,1962
The Wonderful World of the Brothers Grimm,"Adventure,Biography,Comedy",1962
8½,Drama,1963
America America,"Adventure,Drama",1963
The Birds,"Drama,Horror,Mystery",1963
Cleopatra,"Biography,Drama,History",1963
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Comedy,War",1964
From Russia with Love,"Action,Adventure,Thriller",1963
The Great Escape,"Adventure,Drama,Thriller",1963
The Haunting,Horror,1963
The Householder,"Comedy,Drama",1963
Hud,"Drama,Western",1963
"Yesterday, Today and Tomorrow","Comedy,Romance",1963
It's a Mad Mad Mad Mad World,"Action,Adventure,Comedy",1963
The Big City,Drama,1963
Contempt,"Drama,Romance",1963
The Nutty Professor,"Comedy,Romance,Sci-Fi",1963
The Pink Panther,"Comedy,Crime,Romance",1963
The Ghost,Horror,1963
High and Low,"Crime,Drama,Mystery",1963
Tom Jones,"Adventure,Comedy,History",1963
X: The Man with the X-Ray Eyes,"Horror,Sci-Fi,Thriller",1963
Yeh Rastey Hain Pyar Ke,"Crime,Drama,Romance",1963
Africa sexy,Documentary,1963
The Americanization of Emily,"Comedy,Drama,Romance",1964
Apache Rifles,"Drama,Western",1964
The Lonely Wife,"Drama,Romance",1964
The Curse of the Mummy's Tomb,"Drama,Fantasy,Horror",1964
Goldfinger,"Action,Adventure,Thriller",1964
Ishaara,Drama,1964
The Fog,"Drama,Musical,Mystery",1964
Leader,"Comedy,Romance,Thriller",1964
A Fistful of Dollars,"Drama,Western",1964
Sangam,"Drama,Musical,Romance",1964
Santa Claus Conquers the Martians,"Adventure,Comedy,Family",1964
Blood and Black Lace,"Crime,Drama,Horror",1964
Seven Days in May,"Drama,Thriller",1964
Sex and the College Girl,"Drama,Romance",1964
Sex and the Single Girl,"Comedy,Romance",1964
Woman in the Dunes,"Drama,Thriller",1964
Zulu,"Drama,History,War",1964
Arzoo,"Drama,Musical,Romance",1965
Bad Girls Go to Hell,"Crime,Drama",1965
Chemmeen,"Drama,Romance",1965
Doctor Zhivago,"Drama,Romance,War",1965
The Pleasures of the Flesh,"Crime,Drama",1965
The Greatest Story Ever Told,"Biography,Drama,History",1965
Guide,"Drama,Romance",1965
Invasion of Astro-Monster,"Action,Adventure,Sci-Fi",1965
The Coward,"Drama,Romance",1965
Khandan,Drama,1965
Mirage,"Mystery,Thriller",1965
For a Few Dollars More,"Drama,Western",1965
Pierrot le Fou,"Crime,Drama,Romance",1965
The Sound of Music,"Biography,Drama,Family",1965
Teesra Kaun,"Action,Crime,Drama",1965
Thunderball,"Action,Adventure,Thriller",1965
Waqt,"Drama,Romance",1965
The Lost Face,"Comedy,Crime,Fantasy",1965
"Arrivederci, Baby!","Comedy,Crime",1966
Batman: The Movie,"Action,Adventure,Comedy",1966
"The Good, the Bad and the Ugly","Adventure,Drama,Western",1966
Dil Diya Dard Liya,"Drama,Musical,Romance",1966
Mamta,"Drama,Romance",1966
Masculine Feminine,"Drama,Romance",1966
The Hero,Drama,1966
Persona,"Drama,Thriller",1966
The Silencers,"Action,Adventure,Comedy",1966
The Witches,"Comedy,Drama,Romance",1967
"My Sister, My Love","Drama,Romance",1966
Teesri Kasam,"Comedy,Drama,Romance",1966
Teesri Manzil,"Comedy,Musical,Mystery",1966
Belle de Jour,"Drama,Romance",1967
Bonnie and Clyde,"Action,Biography,Crime",1967
Kiss Me Monster,"Adventure,Horror,Mystery",1969
Carry on Doctor,Comedy,1967
Chelsea Girls,Drama,1966
Chhoti Si Mulaqat,"Drama,Romance",1967
Cool Hand Luke,"Crime,Drama",1967
Indecent Desires,"Drama,Fantasy",1968
Doctor Dolittle,"Adventure,Comedy,Family",1967
The Graduate,"Comedy,Drama,Romance",1967
Guess Who's Coming to Dinner,"Comedy,Drama",1967
Hamraaz,"Mystery,Thriller",1967
Jack of Diamonds,"Crime,Drama",1967
Jewel Thief,"Crime,Drama,Mystery",1967
The Jungle Book,"Adventure,Animation,Comedy",1967
The Night of the Generals,"Crime,Drama,Mystery",1967
Sing a Song of Sex,Drama,1967
The Nude Restaurant,Comedy,1967
Point Blank,"Crime,Drama,Thriller",1967
"To Sir, with Love",Drama,1967
Sexy Baby,Drama,1968
You Only Live Twice,"Action,Adventure,Thriller",1967
2001: A Space Odyssey,"Adventure,Sci-Fi",1968
Anjaam,"Action,Adventure",1968
Barbarella,"Action,Adventure,Fantasy",1968
The Bliss of Mrs. Blossom,Comedy,1968
Blue Movie,"Drama,Romance",1969
Bambai Raat Ki Bahon Mein,"Crime,Drama,Romance",1968
Bullitt,"Action,Crime,Thriller",1968
"Daddy, Darling",Drama,1970
Marquis de Sade's Justine,Drama,1969
Diwana,"Drama,Romance",1967
Duniya,"Crime,Drama,Mystery",1968
Enter the Game of Death,"Action,Drama",1978
Fleshpot on 42nd Street,Drama,1972
Funny Girl,"Biography,Comedy,Drama",1968
"2 - I, a Woman, Part II",Drama,1968
Love Camp 7,"Drama,Horror,Thriller",1969
Love Toy,Thriller,1971
Night of the Living Dead,"Horror,Thriller",1968
Padosan,"Comedy,Musical,Romance",1968
Paranoia,"Drama,Romance,Thriller",1969
Planet of the Apes,"Adventure,Sci-Fi",1968
"Rachel, Rachel","Drama,Romance",1968
Romeo and Juliet,"Drama,Romance",1968
Rosemary's Baby,"Drama,Horror",1968
Sadhu Aur Shaitaan,"Comedy,Thriller",1968
Sunghursh,"Action,Crime,Drama",1968
School for Sex,Comedy,1969
Sebastian,"Drama,Romance,Thriller",1968
Sweet November,"Comedy,Drama,Romance",1968
Tarzan and the Jungle Boy,"Action,Adventure",1968
Top Sensation,"Drama,Horror,Thriller",1969
Vixen!,Drama,1968
Butch Cassidy and the Sundance Kid,"Adventure,Biography,Crime",1969
Once Upon a Time in the West,"Drama,Western",1968
Carry on Again Doctor,Comedy,1969
Do Raaste,"Drama,Romance",1969
The Sweet Body of Deborah,"Drama,Horror,Mystery",1968
Easy Rider,"Adventure,Drama",1969
The First Time,"Comedy,Drama,Romance",1969
How to Succeed with Sex,Comedy,1970
The Italian Job,"Action,Comedy,Crime",1969
Mackenna's Gold,"Action,Adventure,Drama",1969
Maid in Sweden,Drama,1971
Marlowe,"Crime,Drama,Mystery",1969
Meri Bhabhi,"Drama,Family",1969
Midnight Cowboy,Drama,1969
More,"Crime,Drama,Romance",1969
Prague Nights,"Comedy,Drama,Fantasy",1969
Prince,Romance,1969
Pyar Hi Pyar,Romance,1969
The Rain People,Drama,1969
A Thousand & One Nights,"Action,Adventure,Animation",1969
Sex and the Animals,Documentary,1969
Talash,"Romance,Thriller",1969
"Tarzana, the Wild Woman",Adventure,1969
Topaz,"Drama,Thriller",1969
Vacation,Drama,1971
Where Eagles Dare,"Action,Adventure,War",1968
Z,"Crime,Drama,Thriller",1969
"I Killed Einstein, Gentlemen","Comedy,Fantasy,Romance",1970
The Hot Month of August,"Crime,Drama,Thriller",1966
The Love Factor,"Comedy,Fantasy,Sci-Fi",1969
"You Are a Widow, Sir!","Comedy,Fantasy,Sci-Fi",1971
Aradhana,"Drama,Musical,Romance",1969
Days and Nights in the Forest,Drama,1970
The Aristocats,"Adventure,Animation,Comedy",1970
Beneath the Planet of the Apes,"Action,Adventure,Sci-Fi",1970
Catch-22,"Comedy,Drama,War",1970
"Four Murders Is Enough, Darling","Comedy,Crime",1971
The Decameron,"Comedy,Drama,History",1971
The Great White Hope,"Drama,Romance,Sport",1970
Hollywood Blue,Documentary,1970
Ilzam,"Action,Crime,Drama",1970
Kati Patang,"Drama,Family,Musical",1970
Love Story,"Drama,Romance",1970
Venial Sin,Comedy,1974
My Name Is Joker,"Comedy,Drama,Musical",1970
"My Lover, My Son",Drama,1970
Patton,"Biography,Drama,War",1970
The Adversary,Drama,1970
Ryan's Daughter,"Drama,Romance",1970
Sex-Power,"Drama,Romance",1970
Lovefilm,Drama,1970
The Man Who Left His Will on Film,Drama,1970
Women in Love,"Drama,Romance",1969
Amar Prem,"Drama,Musical,Romance",1972
Anand,"Drama,Musical",1971
Bananas,Comedy,1971
The Big Doll House,"Action,Drama,Thriller",1971
Blue Movie,Drama,1971
The Young Seducers,Comedy,1971
The Boy Friend,"Comedy,Musical,Romance",1971
Calcutta 71,Drama,1972
Caravan,"Action,Comedy,Musical",1971
A Virgin Among the Living Dead,"Drama,Horror",1973
A Clockwork Orange,"Crime,Sci-Fi",1971
Creatures the World Forgot,"Adventure,Fantasy",1971
The Devils,"Biography,Drama,History",1971
Diamonds Are Forever,"Action,Adventure,Thriller",1971
Dirty Harry,"Action,Crime,Thriller",1971
Escape from the Planet of the Apes,"Action,Sci-Fi",1971
The French Connection,"Action,Crime,Drama",1971
The Chambermaid's Dream,Drama,1971
Get Carter,"Crime,Thriller",1971
Guddi,"Comedy,Drama,Family",1971
Haré Rama Haré Krishna,"Drama,Musical",1971
Little Murders,"Comedy,Crime",1971
The Girl on a Broomstick,"Comedy,Family,Fantasy",1972
What the Peeper Saw,"Crime,Drama,Horror",1972
Parwana,"Romance,Thriller",1971
Percy,Comedy,1971
Prema Nagar,"Drama,Musical,Romance",1971
The Canterbury Tales,"Comedy,Drama,History",1972
Schoolgirl's Report '75,"Comedy,Drama,Romance",1971
Company Limited,Drama,1971
Sharmeelee,"Musical,Mystery,Romance",1971
Murmur of the Heart,"Comedy,Drama",1971
The Stepmother,Drama,1972
Straw Dogs,"Crime,Drama,Thriller",1971
Summer of '42,"Drama,Romance",1971
The Big Boss,"Action,Crime,Drama",1971
Tere Mere Sapne,"Drama,Romance",1971
Tirarse al monte,\N,1971
A Town Called Hell,"Action,Drama,Western",1971
Black Mountain,"Drama,Family,Fantasy",1971
Vanishing Point,"Action,Crime,Thriller",1971
The Velvet Vampire,Horror,1971
Willy Wonka & the Chocolate Factory,"Adventure,Comedy,Family",1971
Women in Cages,"Action,Crime,Drama",1971
Snake Fist Fighter,"Action,Comedy,Drama",1973
"Aguirre, the Wrath of God","Action,Adventure,Biography",1972
Annadata,"Drama,Family",1972
Bawarchi,"Comedy,Drama,Family",1972
Bombay to Goa,"Action,Adventure,Comedy",1972
Cabaret,"Drama,Music,Musical",1972
Chut!,Comedy,1972
Deliverance,"Adventure,Drama,Thriller",1972
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,Comedy,1972
Fritz the Cat,"Animation,Comedy,Drama",1972
The Godfather,"Crime,Drama",1972
Horror Express,"Adventure,Horror,Sci-Fi",1972
Images,"Drama,Horror,Mystery",1972
Jeremiah Johnson,"Adventure,Drama,Western",1972
The Way of the Dragon,"Action,Adventure,Comedy",1972
Mere Jeevan Saathi,"Action,Adventure,Drama",1972
The Pig Keeper's Daughter,Comedy,1972
Pink Flamingos,"Comedy,Crime",1972
The Poseidon Adventure,"Action,Adventure,Drama",1972
The Call of the Wild,"Adventure,Drama,Family",1972
Sanjog,"Comedy,Drama,Family",1972
Sitting Target,"Action,Crime,Drama",1972
Solaris,"Adventure,Drama,Mystery",1972
Sweet Sugar,"Action,Drama",1972
All Nudity Shall Be Punished,Drama,1973
They're Coming to Get You!,"Horror,Thriller",1972
Travels with My Aunt,"Adventure,Comedy",1972
The Wrath of God,"Adventure,Drama,Western",1972
Abhimaan,"Drama,Musical",1973
American Graffiti,"Comedy,Drama",1973
Anita,"Drama,Romance",1973
Distant Thunder,History,1973
Badlands,"Action,Crime,Drama",1973
Bobby,"Comedy,Drama,Musical",1973
"Brother Sun, Sister Moon","Biography,Drama,History",1972
Torso,"Crime,Horror,Mystery",1973
The Day of the Jackal,"Crime,Drama,Thriller",1973
Don't Look Now,"Drama,Horror,Mystery",1973
Enter the Dragon,"Action,Crime,Thriller",1973
The Exorcist,Horror,1973
Jheel Ke Us Paar,"Drama,Romance",1973
Battles Without Honor and Humanity,"Crime,Drama",1973
Jonathan Livingston Seagull,"Drama,Family",1973
Jugnu,"Action,Drama,Thriller",1973
Live and Let Die,"Action,Adventure,Thriller",1973
Lolly-Madonna XXX,"Action,Crime,Drama",1973
Malicious,"Comedy,Drama,Romance",1973
The Mother and the Whore,"Drama,Romance",1973
Man Jeete Jag Jeet,"Action,Crime,Drama",1973
Mean Streets,"Crime,Drama,Thriller",1973
Naked Over the Fence,Thriller,1973
Namak Haraam,Drama,1973
No Sex Please - We're British,Comedy,1973
Paper Moon,"Comedy,Crime,Drama",1973
Phagun,"Drama,Family,Romance",1973
Pran Jaye Par Vachan Na Jaye,"Action,Crime,Drama",1974
Robin Hood,"Adventure,Animation,Comedy",1973
Sssssss,"Horror,Sci-Fi",1973
The Satanic Rites of Dracula,"Drama,Horror",1973
Satanico Pandemonium,"Horror,Mystery,Thriller",1975
Saudagar,"Drama,Family",1973
Seduction,"Crime,Drama,Romance",1973
Serpico,"Biography,Crime,Drama",1973
Sleeper,"Comedy,Sci-Fi",1973
The Sting,"Comedy,Crime,Drama",1973
Last Tango in Paris,"Drama,Romance",1972
The Wicker Man,"Horror,Mystery,Thriller",1973
Procession of Memories,"Action,Drama,Musical",1973
Zanjeer,"Action,Crime,Drama",1973
State of Siege,"Crime,Drama,Mystery",1972
My Mother's Friend,Comedy,1975
Ankur,Drama,1974
Appassionata,Drama,1974
Belladonna of Sadness,"Animation,Drama,Fantasy",1973
Bruce Lee's Deadly Kung Fu,"Action,Drama",1977
"Celestine, Maid at Your Service",Comedy,1974
36 Ghante,"Action,Crime,Drama",1974
Chinatown,"Drama,Mystery,Thriller",1974
Immoral Tales,"Drama,Romance",1973
The Conversation,"Drama,Mystery,Thriller",1974
High School Girl,Comedy,1974
Emmanuelle,"Drama,Romance",1974
Arabian Nights,"Comedy,Drama,Fantasy",1974
Geetaa Mera Naam,"Action,Drama,Thriller",1974
Bedtime Stories for Grownups,Comedy,1974
The Godfather Part II,"Crime,Drama",1974
Gold,"Adventure,Drama,Romance",1974
The Golden Voyage of Sinbad,"Action,Adventure,Fantasy",1973
The Holy Mountain,"Adventure,Drama,Fantasy",1973
Innocence and Desire,"Comedy,Romance",1974
The Bod Squad,"Action,Comedy",1974
The Longest Yard,"Comedy,Crime,Drama",1974
The Stepmother,"Comedy,Drama",1974
Till Marriage Do Us Part,Comedy,1974
Monty Python and the Holy Grail,"Adventure,Comedy,Fantasy",1975
The Night Porter,Drama,1974
Paul and Michelle,"Drama,Romance",1974
Roti Kapada Aur Makaan,"Action,Drama,Musical",1974
The Savage Is Loose,"Adventure,Drama",1974
Le Sex Shop,"Comedy,Drama",1972
